,latitude,longitude,college,food_court,hospital,parking,restaurant,university,charging_station
6087,51.5103588,-0.1877038,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7110,51.4034437,-0.2552759,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130,51.4652901,-0.0583708999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3792,51.4383116,-0.1562741,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4444,51.3581667,-0.2166316,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5685,51.519506,-0.0743342,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,51.451256,0.177931,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3988,51.4081653,-0.0254291,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2567,51.479483,-0.280669,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3593,51.524022,-0.222328,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7257,51.5520955,-0.1962839,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4925,51.5496827,-0.0361444,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6695,51.3970909,-0.1862669,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4296,51.4928104,-0.1003874,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,51.426938,-0.1319519999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3112,51.577728,0.0648229999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3053,51.385529,-0.416975,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6380,51.5133164,-0.1416412,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7860,51.5825986,-0.0999146,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5389,51.5396722,0.0821351,0.0,0.0,0.0,0.0,1.0,0.0,0.0
729,51.562227,-0.0794639999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6784,51.5336133,-0.1782367,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4086,51.497727,-0.1581228,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4124,51.5684366,-0.1100482,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4621,51.4920887,-0.044026,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7454,51.4352727,-0.1602769,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7159,51.5161469,-0.0623935,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6849,51.4907153,-0.1219964,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2481,51.468523,-0.1014129999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8001,51.5172751,-0.0821849,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1785,51.285969,0.1953679999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6046,51.4583371,-0.1853373,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6485,51.5465537,0.1680421,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5833,51.5506367,0.0053302,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6959,51.5096312,-0.1979638,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5430,51.4915421,-0.171891,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2038,51.502942,-0.2095739999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5823,51.5228486,-0.0929179,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5738,51.4987819,-0.067553,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4497,51.539473,-0.1443471,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1853,51.466069,-0.2914839999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1165,51.540812,-0.19178,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7355,51.5111338,-0.3173201,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7614,51.6559206,-0.2021271,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4874,51.4979032,-0.3055298,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6302,51.5938786,-0.1683953,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3153,51.602208,0.2435179999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3207,51.481547,-0.084325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
