element_type,osmid,name,geometry,college,food_court,hospital,parking,restaurant,university,latitude,longitude
node,451153,Central Restaurant,POINT (-0.1935029 51.6020306),0,0,0,0,1,0,,
node,12185812,Heston Services Eastbound,POINT (-0.3884515 51.4888225),0,0,0,1,0,0,,
node,13893285,,POINT (-0.0391511 51.4249457),0,0,0,1,0,0,,
node,13893291,,POINT (-0.0386701 51.4253916),0,0,0,1,0,0,,
node,17345465,,POINT (-0.0644718 51.6518261),0,0,0,1,0,0,,
node,17978996,,POINT (-0.3355776 51.574614),0,0,0,1,0,0,,
node,21104108,,POINT (-0.1352243 51.666416),0,0,0,1,0,0,,
node,21770258,,POINT (-0.3387658 51.509136),0,0,0,1,0,0,,
node,25496842,Cornwall Road Parking,POINT (-0.1110639 51.50623),0,0,0,1,0,0,,
node,25628128,,POINT (-0.3352965 51.5747475),0,0,0,1,0,0,,
node,25949639,,POINT (-0.0594051 51.6235253),0,0,0,1,0,0,,
node,26544484,Casuarina Tree,POINT (-0.1722345 51.3980144),0,0,0,0,1,0,,
node,26604024,Jin Li,POINT (-0.4585479 51.525732),0,0,0,0,1,0,,
node,26671735,,POINT (-0.1302097 51.5071604),0,0,0,1,0,0,,
node,26816010,St Bartholomew's and the Royal London School of Medicine and Dentistry,POINT (-0.0996753 51.5227918),0,0,0,0,0,1,,
node,26845558,Old Tree Daiwan Bee,POINT (-0.1325596 51.5110542),0,0,0,0,1,0,,
node,26846355,QPark Chinatown,POINT (-0.1295014 51.512357),0,0,0,1,0,0,,
node,26866990,Soho Cark Park,POINT (-0.142835 51.5153419),0,0,0,1,0,0,,
node,27390454,The Ferry,POINT (-0.3253646 51.3894939),0,0,0,0,1,0,,
node,29932520,,POINT (-0.1662628 51.5167427),0,0,0,1,0,0,,
node,29932521,,POINT (-0.1638537 51.5150102),0,0,0,1,0,0,,
node,30863471,,POINT (-0.3137251 51.4526403),0,0,0,1,0,0,,
node,31098623,The Unicorn,POINT (0.2005327 51.5868564),0,0,0,0,1,0,,
node,31224530,,POINT (-0.2419189 51.5788128),0,0,0,1,0,0,,
node,31282220,Lyon Road Short Stay Parking,POINT (-0.3325106 51.5814296),0,0,0,1,0,0,,
node,31282221,St Johns Road Short Stay Parking,POINT (-0.3325043 51.5816612),0,0,0,1,0,0,,
node,32596217,,POINT (0.1888374 51.2864355),0,0,0,1,0,0,,
node,33014385,Ebbisham Center Parking,POINT (-0.266593 51.334381),0,0,0,1,0,0,,
node,33041184,,POINT (-0.250495 51.3123876),0,0,0,1,0,0,,
node,33338679,,POINT (-0.2395788 51.3566821),0,0,0,1,0,0,,
node,33717258,Melbourne Road,POINT (-0.1497871 51.3617375),0,0,0,1,0,0,,
node,34190698,Cinnamon Lounge,POINT (-0.3284018 51.472105),0,0,0,0,1,0,,
node,36138571,The Grange,POINT (-0.1508364 51.3719881),0,0,0,0,1,0,,
node,36509097,The Royal,POINT (-0.3266794 51.4983082),0,0,0,0,1,0,,
node,36989166,,POINT (-0.2165092 51.3589443),0,0,0,1,0,0,,
node,45293688,Bombay Palace,POINT (0.2346712 51.5939208),0,0,0,0,1,0,,
node,49300216,,POINT (-0.2105291 51.46848),0,0,0,1,0,0,,
node,52026815,,POINT (-0.1080728 51.5949601),0,0,0,1,0,0,,
node,59379045,,POINT (-0.3513341 51.6531575),0,0,0,1,0,0,,
node,60660743,National Hospital for Neurology and Neurosurgery,POINT (-0.1223623 51.5222325),0,0,1,0,0,0,,
node,65095110,Tratorria Raffaele,POINT (-0.0487489 51.4256431),0,0,0,0,1,0,,
node,81603710,,POINT (0.0244068 51.3959307),0,0,0,1,0,0,,
